Round/Game,Winner,Loser,Crash,Timeout,Map,Duration,W Score,L Score,(W-L)/Max,W 55,W 1000,W 10000,L 55,L 1000,L 10000,Win Addr,Lose Addr,Start,Finish,Round/Game,,Bot,Games,Win,Loss,Win %,AvgTime,Hour,Crash,Timeout
0 / 00020,Aiur,CruzBot,FALSE,FALSE,Benzene,00:13:48,17974,4328,0.75917,0,0,0,0,0,0,/192.168.0.31,/192.168.0.44,20160924_205339,20160924_205556,1 / 00020,,Iron,1800,1574,226,0.87,12:26,6,5,4
0 / 00023,Aiur,Skynet,FALSE,FALSE,Benzene,00:08:52,24994,9784,0.60852,0,0,0,0,0,0,/192.168.0.41,/192.168.0.42,20160924_205543,20160924_205742,1 / 00023,,ZZZKBot,1799,1530,269,0.85,06:45,3,0,0
0 / 00026,Aiur,IceBot,FALSE,FALSE,Benzene,00:59:31,174901,107662,0.38444,0,0,0,6,0,0,/192.168.0.32,/192.168.0.31,20160924_205752,20160924_210941,1 / 00026,,tscmoo,1799,1488,311,0.83,12:41,0,0,0
0 / 00028,Aiur,LetaBot,FALSE,FALSE,Benzene,00:59:31,172140,54473,0.68355,0,0,0,1,0,0,/192.168.0.23,/192.168.0.42,20160924_205915,20160924_211045,1 / 00028,,LetaBot,1796,1329,467,0.74,14:26,43,0,2
0 / 00029,Aiur,Oritaka,FALSE,FALSE,Benzene,00:59:31,107922,46820,0.56616,0,0,0,0,0,0,/192.168.0.41,/192.168.0.13,20160924_205958,20160924_211239,1 / 00029,,UAlbertaBot,1800,1267,533,0.70,10:13,29,1,7
0 / 00031,Aiur,TerranUAB,FALSE,FALSE,Benzene,00:15:37,58096,35204,0.39403,0,0,0,1,0,0,/192.168.0.34,/192.168.0.12,20160924_210119,20160924_210420,1 / 00031,,Ximp,1799,1161,638,0.65,16:59,3,57,73
0 / 00032,Aiur,Tyr,FALSE,FALSE,Benzene,00:09:32,16286,450,0.97231,0,0,0,0,0,0,/192.168.0.44,/192.168.0.33,20160924_210252,20160924_210422,1 / 00032,,Overkill,1786,1106,680,0.62,15:22,14,1,27
0 / 00033,Aiur,Cimex,FALSE,FALSE,Benzene,00:13:22,50521,24334,0.51833,0,0,0,0,0,0,/192.168.0.11,/192.168.0.22,20160924_210333,20160924_210603,1 / 00033,,Aiur,1800,1102,698,0.61,13:51,35,0,0
0 / 00034,Aiur,GarmBot,FALSE,FALSE,Benzene,00:15:26,55960,25261,0.54858,0,0,0,0,0,0,/192.168.0.43,/192.168.0.12,20160924_210433,20160924_210902,1 / 00034,,MegaBot,1799,1051,748,0.58,12:25,25,177,128
0 / 00035,Aiur,JiaBot,FALSE,FALSE,Benzene,00:11:10,27744,8235,0.70315,0,0,0,0,0,0,/192.168.0.34,/192.168.0.44,20160924_210523,20160924_210708,1 / 00035,,IceBot,1797,1032,765,0.57,14:56,13,42,2
